A Lert|human|male|Pyramid, Blue Face||is a servant at Blue Castle.|m21|
A-Gull|bird||Gourd, Lost Path|||29|
A. Bull|angel||Heaven|||m34|
A. Gile|angel||Heaven|||m34|
A. Sist|demon|female|Xanth||must help anyone before moving on. She used to be D. Sist who interfered with people until she was reversed by a donkey-headed dragon.|35|
AC|human|male|Xanth Reality 3 (GWITS)||is the personification of the Adult Conspiracy.|41|
Aaron (SN)|human|male|Xanth Reality 2 (SN)|placing wings on objects|visited the Promenade Glade.|30|
Aaron (WTC.1)|human|male|Xanth|making balls of light||35|
Aaron (WTC.4)|human|male|Xanth|hot hand||35|
Abscissa|human|female|Xanth|traveling along the female X coordinate|was delivered to an orphanage since her parents took too long to marry.|19|
Achilles|human|male|Mundania, Greece||is a Greek warrior and the rider of ^Xanthus^.|m25|
Acro|nymph|female|Xanth|invoking or controlling acronyms|is a member of ^Cyrus (TTTF)'s^ troupe.|M32|
Adam (SN)|ant|male|Xanth, Punderground|||30|4
Adam (YIW)|human|male|Xanth|assuming essence of what he sees|helped the Baldwin family with ^Happy Bottom^.|20|
Adiana|human|female|Xanth, Twin City||wants to live but was dying. ^David Baldwin^ wished he could help her live.|20|
Adissec Nirp|human|female|Xanth|||m34|
Adjudic Ant|ant|male|Xanth|||32|2
Adnama|human|female|Xanth, Twin City|changing the color of other's hair|was 10 years old when ^David Baldwin^ met her.|20|
Adolphe Sax|human|male|Mundania||is the inventor of the saxophone.|m40|
Adora Bull|minotaur|female|Xanth|opening doors|is a half-sister to all of her siblings. She has a bull head and human body.|M35|
Adora-Ble Bash-Ful|ogre||Xanth||was a baby ogret.|28|
Aeolus|human|male|Xanth, North Village|creating storms|was the eighteenth King of Human Xanth. He was also known as The Storm King. While he was King, he kept his soul in a box.|m23|
Afro Disiac|human|female|Ptero|making anyone interested in summoning the stork||m28|17
Agenda Andrews|human|female|Xanth||was a date arranged for ^Grey^ by ^Sending^. She was a very organized young woman.|12|
Agent Orange|feline||Xanth, Region of Madness|killing plants in the vicinity|is a vaguely catlike creature who works for the ^Catapult^ in the Region of Madness. Where it passes plants wither and die.|5|
Agora|ogre|female|Xanth||was ^Clio's^ nursemaid.|m28|
Air King|illusion|male|Xanth||is on the illusionary Air Plane in Castle Air.|31|
Air Queen|illusion|female|Xanth||is on the illusionary Air Plane in Castle Air.|31|
Airic|human|female|Xanth, Region of Air|walking on air||35|
Airon|illusion|male|Xanth|changing into the wind|is on the illusionary Air Plane.|31|
Airy|monster||Ptero|diction||21|
Akimbo|human|male|Xanth Reality 6|causing tangles of any size||30|
Al Eye|eyeball|female|Xanth, Isle of Fellowship||is a talking eyeball at date palm.|24|
Alanda|elemental|female|Xanth|the force of land||20|
Alaric|dog||Mundania||is a pet of ^Arjayess^.|m26|
Alecto|Fury|female|Xanth||is the Fury of sorrows.|7|
Alex (KG)|human|male|Comic; Xanth||is unable to express emotions. His name is short for alexythemia.|34|
Alex (TTTF)|human|male|Xanth|making stones invisible||32|
Alex (WTC)|human|male|Xanth|having a rain bow||35|
Alexandra|weredolphin|female|Xanth||is somewhat portly.|m23|
Algebra|crossbreed|female|Xanth|being good at math|wears a bra of algae. She gave ^Cyrus (TTTF)^ a vial of lethe that he needed later.|32|
Alias|human|male|Xanth|making everyone around him answer to wrong names||m19|
Aliena|human|female|Xanth|changing the color of trees||35|
Alison|human|female|Xanth|making a small or large force field in the air, permeable or tight, with different shapes, color, or textures||31|
Alister|human|male|Xanth|finding things, except an answer|is featured in the Encyclopedia of Xanth. ^Marbles^ is his pet.|15|
Allergy|human|female|Xanth, Centaur Isle||is allergic to magic.|38|
Aloe Vera|human|female|Xanth|soothing burns||26|
Alpha|human|male|Mundania||was the first of three men in Xanth and with their mares, the parents of the first centaurs.|m4|
Alpha Centuri (FAG)|centaur|male|Ptero||is a guardian of the Ptero boundary.|21|
